,contractions,posture_lying,posture_standing,gastric_eating,gastric_normal,gastric_ruminating,gastric_unhealthy,bouts,amount,temperature,activity
2022-01-26 01:00:00,"[4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 6.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.4,8
2022-01-26 02:00:00,"[5.0, 5.0, 6.0, 4.0, 5.0, 7.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0,0,39.4,4
2022-01-26 03:00:00,"[3.0, 3.0, 2.0, 3.0, 4.0, 5.0, 4.0, 3.0, 5.0, 3.0, 4.0, 5.0, 4.0, 6.0, 4.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.4,4
2022-01-26 04:00:00,"[4.0, 6.0, 6.0, 4.0, 4.0, 4.0, 5.0, 6.0, 4.0, 4.0, 5.0, 5.0, 6.0, 5.0, 6.0]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,39.2,7
2022-01-26 05:00:00,"[5.0, 5.0, 4.0, 6.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 3.0, 4.0, 5.0, 5.0, 4.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0,0,39.4,4
2022-01-26 06:00:00,"[3.0, 3.0, 4.0, 3.0, 6.0, 6.0, 4.0, 5.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 6.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.2,7
2022-01-26 07:00:00,"[3.0, 6.0, 5.0, 6.0, 5.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0]","[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.2,8
2022-01-26 08:00:00,"[5.0, 6.0, 5.0, 6.0, 4.0, 5.0, 4.0, 4.0, 5.0, 3.0, 5.0, 4.0, 5.0, 3.0, 5.0]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,0,39.2,14
2022-01-26 09:00:00,"[6.0, 7.0, 4.0, 7.0, 7.0, 6.0, 6.0, 6.0, 6.0, 7.0, 5.0, 4.0, 4.0, 6.0, 8.0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.4,19
2022-01-26 10:00:00,"[6.0, 7.0, 6.0, 7.0, 5.0, 7.0, 6.0, 6.0, 7.0, 7.0, 4.0, 6.0, 6.0, 6.0, 5.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,39.6,23
